"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Dillon Brooks","Hou","F","27.9","20","31.2","18.8","15.3","43","0.837","119","0.513","91","0.396","0.548","0.581","13.3","3.6","1.8","1","0.1","1.9","16.9","15.1","18.6","5.7","106.2","99.5"
"","Reggie Jackson","Den","G","33.7","24","26.1","21.2","12.9","35","0.686","157","0.561","99","0.394","0.572","0.584","13.2","2.3","4.6","0.7","0.3","1.6","15.5","17.8","20.1","8","115.7","112.5"
"","Zach Collins","San","C","26.1","22","28.2","21.2","20.5","60","0.8","143","0.601","85","0.271","0.529","0.568","13.1","6.2","3.8","0.7","0.6","2.7","19.3","16.9","23.1","9.6","106.1","109.8"
"","Saddiq Bey","Atl","F","24.7","22","30.4","15.6","10.5","46","0.804","108","0.593","104","0.394","0.592","0.62","13.1","5.9","1.2","1","0.2","1.1","19","14.3","20.2","6","124.8","118.1"
"","De'Anthony Melton","Phi","G","25.5","22","30.1","18.4","11.7","60","0.8","99","0.414","134","0.381","0.504","0.545","12.9","4","3.8","1.5","0.5","1.4","16.9","16.7","20.7","7.7","115.8","108.2"
"","Deandre Ayton","Por","C","25.4","18","31.9","16.8","16","21","0.81","184","0.587","0","0","0.587","0.603","12.9","10.8","1.6","1.2","0.7","1.9","23.7","14.5","25.3","7.6","113.4","106.1"
"","Aaron Gordon","Den","F","28.2","20","32.8","18.2","13.1","60","0.517","177","0.559","41","0.22","0.516","0.524","12.8","7.3","3.5","1","0.8","1.7","20.1","16.3","23.6","8.4","110.8","112.2"
"","Naz Reid","Min","C-F","24.3","22","22","23","9.5","32","0.906","119","0.605","99","0.364","0.578","0.605","12.8","4.5","0.9","0.7","0.6","1","17.3","13.6","18.2","6.8","116.1","102.2"
"","Obi Toppin","Ind","F","25.8","21","25.5","15.9","8.8","36","0.806","105","0.781","70","0.357","0.683","0.702","12.8","3.1","1.3","0.6","0.6","0.8","15.9","14","17.2","5.8","133.3","118.5"
"","Collin Sexton","Uta","G","24.9","23","20.7","25.8","16.8","82","0.878","140","0.514","77","0.325","0.505","0.575","12.7","2.7","3.2","0.5","0.2","1.9","15.3","15.9","18.6","9.3","114.4","116.7"
"","Santi Aldama","Mem","F-C","22.9","16","26.5","21.4","9","29","0.621","97","0.536","85","0.318","0.508","0.521","12.7","6.1","2.3","0.8","0.8","1.1","18.8","15","21.1","8.5","108.1","110.3"
"","Mark Williams","Cha","C","22","19","26.8","16.5","10.1","64","0.719","151","0.649","0","0","0.649","0.675","12.7","9.7","1.2","0.8","1.1","0.9","22.4","13.9","23.6","7.9","138.4","111.7"
"","Andrew Wiggins","Gol","F","28.8","20","27.5","22.5","14.3","59","0.627","168","0.476","65","0.277","0.459","0.485","12.6","4.4","1.2","0.3","0.4","2","17","13.7","18.1","5.9","95.6","110.6"
"","Jalen Duren","Det","C","20.1","14","28.9","18.4","23","28","0.571","125","0.64","2","0","0.63","0.632","12.6","10.9","2.5","0.6","1.4","2.7","23.5","15.1","26","9.7","110.4","106.5"
"","Marcus Smart","Mem","G","29.8","11","29.9","21.4","23.7","21","0.81","58","0.569","61","0.295","0.504","0.534","12.5","2.5","5","2","0.4","3.4","14.9","17.5","19.9","7.2","96.7","106.1"
"","Jarrett Allen","Cle","C","25.6","18","27.8","16.7","18.4","57","0.719","137","0.672","0","0","0.672","0.694","12.5","8.2","2.2","0.6","0.9","1.7","20.7","14.7","22.9","8.8","129.2","102.8"
"","Bruce Brown","Ind","G","27.3","21","33","14.9","10.5","55","0.836","127","0.543","77","0.338","0.529","0.574","12.5","4.6","2.6","1.2","0.2","1.1","17","15.1","19.7","6.4","115.9","117.3"
"","Jabari Smith Jr.","Hou","F","20.6","20","30.3","17.6","11.7","30","0.767","116","0.578","87","0.356","0.559","0.578","12.5","8.7","1.8","0.6","0.8","1.4","21.2","14.3","23","7.7","113.3","98.6"
"","Jrue Holiday","Bos","G","33.5","19","34.7","17.1","16.1","29","0.828","122","0.475","86","0.372","0.51","0.535","12.4","7.1","5.1","0.7","0.9","2.1","19.5","17.5","24.6","8.8","113","108.6"
"","Khris Middleton","Mil","F","32.3","19","22.2","24.7","15.8","38","0.789","120","0.533","72","0.361","0.536","0.565","12.4","4.8","4.2","0.8","0.1","1.9","17.2","16.6","21.4","11.4","112.9","109"
"","Jaime Jaquez Jr.","Mia","G","22.8","23","27.2","19","14.2","37","0.838","147","0.592","70","0.386","0.588","0.613","12.4","3.5","2.5","1","0.2","1.6","15.9","14.9","18.4","7","115.1","108.2"
"","Norman Powell","Lac","G","30.6","22","24.4","19.1","10.4","57","0.842","99","0.515","91","0.44","0.584","0.628","12.3","2","1","0.7","0.5","1","14.3","13.3","15.4","4.8","119.3","109.2"
"","Ivica Zubac","Lac","C","26.7","22","26.9","17.4","12.3","64","0.594","185","0.627","0","0","0.627","0.633","12.3","9","1","0.2","1.5","1.2","21.3","13.2","22.2","7.1","125.2","103.4"
"","Grayson Allen","Pho","G","28.2","19","33.1","14.3","14.7","38","0.895","68","0.5","94","0.468","0.617","0.655","12.3","4.5","2.9","0.7","0.4","1.5","16.8","15.2","19.7","6.6","124.6","112"
"","Moritz Wagner","Orl","F-C","26.6","23","19.3","22.6","15.6","62","0.774","140","0.7","38","0.342","0.66","0.689","12.3","4.2","1.1","0.5","0.4","1.4","16.5","13.4","17.7","8","124","99.7"
"","Malik Beasley","Mil","G","27","23","30.1","14.1","7.1","12","0.667","57","0.544","151","0.464","0.654","0.656","12.2","4.3","1.4","0.9","0.1","0.7","16.5","13.6","18","5.6","126.5","113.1"
"","Caleb Martin","Mia","F","28.2","13","25.6","22.2","10.2","24","0.667","88","0.5","53","0.34","0.504","0.521","12.2","4.5","2.2","0.8","0.2","1.2","16.6","14.4","18.8","7.7","105.2","108.3"
"","Jalen Suggs","Orl","G","22.5","21","26.1","20","17.8","56","0.821","104","0.529","89","0.371","0.541","0.586","12.1","3.5","2.7","1.8","0.6","2","15.6","14.8","18.3","7.4","109.1","99.8"
"","Kevin Huerter","Sac","G","25.3","20","26.8","17.8","7.3","17","0.824","73","0.562","129","0.372","0.559","0.573","12","4.5","2.8","0.8","0.3","0.8","16.5","14.8","19.3","8","118.6","109.4"
