"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Nick Richards","Cha","C","26","15","18.7","14.9","20.4","46","0.826","62","0.694","0","0","0.694","0.754","8.3","6.2","0.4","0.4","1.1","1.1","14.5","8.7","14.9","5.9","135.6","107.1"
"","Naji Marshall","Nor","F","25.9","15","20.2","16.9","17.9","33","0.848","47","0.489","40","0.425","0.557","0.616","8.3","4.7","2","0.7","0.3","1.3","13","10.3","15","8.5","118.8","108.7"
"","Bones Hyland","Lac","G","23.2","12","16.8","23.9","17.7","10","0.9","40","0.5","48","0.354","0.517","0.541","8.3","1.2","2","0.6","0","1.6","9.5","10.3","11.5","6.5","99.7","106.2"
"","Jae Crowder","Mil","F","33.4","9","26.7","10","7.8","12","0.583","16","0.563","31","0.516","0.702","0.698","8.1","3.9","1.7","0.8","0.3","0.4","12","9.8","13.7","5.7","138.3","114.1"
"","Royce O'Neale","Bro","F","30.5","21","28.6","12.3","10.7","12","0.583","25","0.28","125","0.4","0.547","0.551","8.1","5.4","3.3","0.8","0.8","0.9","13.5","11.5","16.9","7.3","120.5","107.2"
"","Cedi Osman","San","F","28.7","22","19.3","17","9.2","20","0.65","66","0.576","82","0.366","0.561","0.571","8.1","2.2","1.6","0.5","0.2","0.7","10.4","9.8","12","6.3","111.8","115.1"
"","Precious Achiuwa","Tor","F","24.2","17","18.2","21.2","16.6","27","0.593","86","0.512","34","0.324","0.504","0.519","8.1","6.1","2","0.6","0.4","1.4","14.2","10.1","16.2","10.2","105.5","104"
"","Malaki Branham","San","F","20.6","22","20.9","18.9","12.8","12","0.917","106","0.509","70","0.286","0.477","0.494","8.1","1.5","2.3","0.4","0.1","1.2","9.7","10.4","12","5.8","96.7","118.9"
"","Tre Jones","San","G","23.9","19","23.8","15.6","15.5","32","0.844","89","0.494","41","0.293","0.477","0.524","7.9","2.8","5.1","0.8","0.2","1.3","10.8","13","15.8","8.1","113.9","117.7"
"","Ziaire Williams","Mem","F","22.2","20","20","18.6","14","24","0.875","73","0.438","68","0.353","0.482","0.518","7.9","4","1.2","0.5","0.3","1.2","11.9","9.1","13.1","6.7","99.8","107.6"
"","Gary Harris","Orl","G","29.2","18","21.8","13.5","7.8","24","0.792","31","0.645","75","0.36","0.571","0.601","7.8","1.9","1.8","0.9","0.3","0.5","9.7","9.6","11.5","5.5","125.4","106.8"
"","Skylar Mays","Por","G","26.3","14","19.5","19.6","12.4","13","0.846","65","0.477","41","0.293","0.462","0.488","7.8","1.7","4.5","0.8","0.1","1.1","9.5","12.3","14","8","111","112.8"
"","Orlando Robinson","Mia","C","23.4","9","19.1","16","15.7","12","0.75","39","0.513","9","0.778","0.635","0.657","7.8","5.6","2.3","0.6","0.8","1","13.3","10.1","15.7","9.7","128.6","101.1"
"","Simone Fontecchio","Uta","F","28","21","19","16.6","13.6","14","0.786","42","0.571","91","0.385","0.575","0.589","7.8","2.4","1.2","0.3","0.6","1","10.2","9","11.4","5.9","112.2","117.2"
"","Al Horford","Bos","C-F","37.5","19","26.6","11.8","14.9","8","1","43","0.698","71","0.366","0.605","0.621","7.7","6.8","2.8","0.5","1","1.1","14.5","10.5","17.3","7.9","127.9","105.4"
"","Marcus Sasser","Det","G","23.2","22","17.4","18.2","9.8","9","1","77","0.519","69","0.391","0.551","0.567","7.7","1.8","2.7","0.6","0.1","0.7","9.5","10.5","12.3","7.7","117.3","114.3"
"","Duop Reath","Por","C","27.5","14","15.9","20.6","9.9","16","0.875","32","0.531","59","0.339","0.516","0.551","7.7","2.5","1.4","0.6","0.3","0.7","10.2","9.1","11.6","7.5","114.5","104.9"
"","Kelly Olynyk","Uta","F-C","32.6","21","20.9","14.3","28.8","37","0.892","59","0.644","37","0.459","0.661","0.713","7.6","5.5","3.6","0.8","0.2","1.9","13.1","11.2","16.7","10.2","125.6","106.9"
"","Cason Wallace","Okc","G","20.1","22","22.3","11.2","9.1","15","0.8","62","0.645","48","0.521","0.705","0.716","7.6","2.4","1.3","0.6","0.5","0.5","10","8.9","11.2","5.2","136.6","110.5"
"","Danilo Gallinari","Was","F","35.3","20","15.7","18.6","8.2","40","0.825","59","0.576","52","0.308","0.523","0.579","7.5","3.2","1.4","0.3","0.2","0.5","10.6","8.9","12","8.2","118.4","117.7"
"","T.J. McConnell","Ind","G","31.7","15","15.5","20.3","14.8","16","0.688","85","0.576","7","0.143","0.549","0.565","7.5","2.3","4.3","0.9","0.1","1.1","9.8","11.7","14.1","10.8","121.4","115.9"
"","Tari Eason","Hou","F","22.6","13","18.8","18.7","10.4","18","0.611","59","0.475","27","0.37","0.5","0.516","7.5","6.7","1.2","0.5","1.1","0.8","14.2","8.7","15.4","8.3","109.7","96.9"
"","Jabari Walker","Por","F","21.4","22","18.2","18.3","13.3","36","0.778","91","0.549","45","0.267","0.5","0.54","7.5","4.9","0.7","0.8","0.4","1","12.4","8.2","13.1","6.5","108.4","102.4"
"","Aaron Holiday","Hou","G","27.2","18","18.4","15.4","7.2","12","0.833","50","0.54","53","0.434","0.597","0.614","7.4","2","2","0.5","0.1","0.4","9.4","9.4","11.4","6.7","125.8","102.3"
"","Goga Bitadze","Orl","C-F","24.4","21","21","13","12","46","0.717","97","0.608","5","0.2","0.593","0.63","7.3","6","1.9","0.7","1.7","0.7","13.3","9.2","15.2","8.3","133.5","99"
"","Brandin Podziemski","Gol","G","20.8","16","19.2","16.4","14.1","18","0.667","58","0.466","39","0.436","0.541","0.558","7.3","4.4","2.3","0.5","0.1","1","11.8","9.6","14","8.7","115.2","107.7"
"","Kyle Anderson","Min","F-G","30.2","22","23.7","15.4","20.3","52","0.692","111","0.523","18","0.111","0.473","0.52","7.2","3.8","3.9","0.8","0.9","1.5","11","11.1","14.9","8","109.4","104.4"
"","Daniel Theis","Lac","F-C","31.7","11","17.3","19.2","8.7","10","0.5","60","0.467","13","0.462","0.507","0.51","7.2","4.5","1.1","0.4","1.1","0.6","11.6","8.3","12.7","7.6","111.8","99.4"
"","Craig Porter","Cle","G","23.8","14","14.3","21.3","16","26","0.692","66","0.561","7","0.429","0.568","0.598","7.2","1.9","2.4","0.6","0.4","1","9.1","9.6","11.5","9","116.7","107.3"
"","Cam Reddish","Lal","F-G","24.3","19","25.8","12","9.1","34","0.853","59","0.492","51","0.314","0.482","0.54","7.1","2.8","1.2","1.4","0.3","0.6","9.9","8.3","11.1","4.5","110.9","106.8"
"","Xavier Tillman","Mem","C","24.9","12","20.4","18.2","11.2","14","0.357","60","0.467","27","0.296","0.46","0.456","7.1","4.3","1.7","1.5","0.8","0.9","11.4","8.8","13.1","7.3","97.8","105.8"
"","Andrew Nembhard","Ind","G-F","23.9","17","18.1","18.6","16.1","9","0.667","77","0.558","37","0.243","0.496","0.504","7","1.7","4.1","0.9","0.1","1.3","8.7","11.1","12.8","8.1","109","114.6"
"","Nickeil Alexander-Walker","Min","F","25.3","22","23.9","14.4","15.5","15","0.6","48","0.521","93","0.344","0.518","0.525","7","2.1","2.6","0.9","0.7","1.2","9.1","9.7","11.8","5.6","105.4","103.5"
"","Jordan Nwora","Ind","F","25.3","5","14.6","23.9","16.9","4","0.75","19","0.526","15","0.267","0.471","0.489","7","3","1.2","0.8","0.2","1.4","10","8.2","11.2","8","95.5","112.4"
"","Jaden Hardy","Dal","G","21.4","18","12.4","26.5","11.7","27","0.667","61","0.443","52","0.346","0.478","0.504","7","1.7","1.5","0.3","0","0.8","8.7","8.5","10.2","8.4","103.6","111.2"
"","Nicolas Batum","Phi","G-F","35","13","25.8","8","10.1","11","0.636","12","0.833","41","0.512","0.783","0.778","6.9","4.1","2","0.5","0.7","0.5","11","8.9","13","6","153.8","110.5"
"","Christian Wood","Lal","F","28.2","22","19.7","16.7","19.6","45","0.689","66","0.591","53","0.264","0.504","0.544","6.9","5.9","0.9","0.2","0.5","1.3","12.7","7.7","13.6","6.7","99.4","102.6"
"","Quentin Grimes","Nyk","G","23.6","20","22.9","12.6","8.1","3","0.667","26","0.462","98","0.378","0.544","0.547","6.9","1.4","1.2","0.7","0","0.6","8.2","8.1","9.4","4","113.8","110.7"
"","Josh Green","Dal","G","23.1","18","25.2","12.4","13.5","17","0.529","46","0.5","63","0.365","0.528","0.532","6.9","2.9","2.4","0.9","0.2","0.9","9.8","9.3","12.2","5.8","109.9","112.6"
"","Day'Ron Sharpe","Bro","C","22.1","22","16","18.7","19.4","47","0.617","104","0.587","4","0","0.565","0.587","6.9","6.8","1","0.4","0.8","1.2","13.7","7.8","14.6","9","115.9","98.9"
"","Trendon Watford","Bro","F","23.1","15","14.3","20.5","17.6","16","0.938","65","0.569","14","0.357","0.563","0.604","6.9","3.7","1.8","0.5","0.2","1.1","10.7","8.7","12.5","10","118","99.7"
"","Dyson Daniels","Nor","G","20.7","24","25.2","14.1","15.4","30","0.667","92","0.511","67","0.254","0.456","0.479","6.9","4.6","3.1","1.5","0.4","1.2","11.5","10","14.6","7.3","103.7","107.4"
"","Robert Williams III","Por","C-F","26.2","6","19.8","13.2","21","9","0.778","26","0.654","0","0","0.654","0.684","6.8","6.3","0.8","1.2","1.2","1.2","13.2","7.7","14","6.6","121.6","98.2"
"","Doug McDermott","San","F","31.9","20","16.7","14.3","11.7","8","0.75","22","0.455","76","0.474","0.653","0.66","6.7","1.2","1.8","0.4","0.1","0.7","7.9","8.5","9.6","5.8","121.8","117.5"
"","Dennis Smith Jr.","Bro","G","26","13","17.6","18.2","13","14","0.857","58","0.466","22","0.318","0.469","0.505","6.7","3","3.5","0.8","0.2","0.9","9.7","10.2","13.2","9.4","116.1","104.5"
"","Drew Eubanks","Pho","F-C","26.9","21","17.8","15.6","19.8","30","0.833","95","0.579","2","1","0.598","0.64","6.7","4.5","1.4","0.2","1","1.1","11.2","8.1","12.6","7.8","120.2","105"
"","Toumani Camara","Por","F","23.6","22","25.9","13.5","14.2","29","0.69","78","0.487","67","0.254","0.438","0.466","6.7","4.7","1.2","0.9","0.6","1.1","11.4","7.9","12.5","5.2","99.9","107.2"
"","Cameron Payne","Mil","G","29.3","23","17.1","15.4","14.4","8","1","52","0.538","66","0.439","0.606","0.621","6.6","1.3","2.4","0.4","0.1","0.9","7.9","9","10.3","6.4","120","109.6"
"","Chris Boucher","Tor","F-C","30.9","21","14.4","18.5","8.7","40","0.825","64","0.5","41","0.341","0.505","0.567","6.6","3.9","0.4","0.3","0.5","0.5","10.5","7","10.9","6","118.3","103.9"
"","Kevin Knox II","Det","F","24.3","8","16.4","15.8","14.5","3","0.667","20","0.6","21","0.429","0.622","0.626","6.6","2.8","0.4","0.5","0.1","0.9","9.4","7","9.8","4.8","108.7","112.6"
"","Terance Mann","Lac","G-F","27.1","16","26.6","11.8","10.1","17","0.588","54","0.63","44","0.205","0.485","0.498","6.6","3.7","2.1","0.8","0.4","0.7","10.3","8.6","12.3","5.6","110.8","109.2"
"","Matisse Thybulle","Por","F","26.8","22","24","10.3","13.6","8","0.75","23","0.696","85","0.424","0.648","0.655","6.6","1.9","1.1","1.5","0.8","0.8","8.5","7.7","9.6","4","120.5","114.1"
"","Isaac Okoro","Cle","F","22.9","14","24.6","12.1","12.6","21","0.619","47","0.553","29","0.31","0.52","0.54","6.6","3.3","1.4","1","0.5","0.8","9.9","8","11.3","5.1","111.9","106.2"
"","Jose Alvarado","Nor","G","25.7","10","16.6","19.6","13.7","8","0.375","30","0.4","33","0.394","0.5","0.496","6.6","2.1","2.3","1.2","0.4","1","8.7","8.9","11","7.6","101.5","107.4"
"","Ben Simmons","Bro","G","27.4","6","31.8","11.7","29.3","4","0.25","36","0.528","0","0","0.528","0.516","6.5","10.8","6.7","0.5","0.8","2.5","17.3","13.2","24","9.8","113","106.7"
"","Haywood Highsmith","Mia","F","27","15","22.3","13.6","15.4","13","0.846","33","0.576","49","0.327","0.524","0.553","6.5","2.7","1.5","1.1","0.7","1","9.2","8","10.7","5.3","106","106.4"
"","Dante Exum","Dal","G","28.4","19","13.9","18.8","8.4","23","0.652","70","0.586","28","0.286","0.541","0.56","6.4","2.7","2.3","0.5","0.2","0.5","9.1","8.7","11.4","9.8","123.7","108.8"
"","Jonathan Isaac","Orl","F","26.2","16","13.4","20","11.2","29","0.793","41","0.634","38","0.237","0.5","0.556","6.4","4.4","0.3","0.9","1.1","0.6","10.8","6.7","11.1","6.1","112.8","97.1"
"","Josh Okogie","Pho","F","25.3","22","21.8","13.4","15.4","58","0.776","57","0.544","47","0.234","0.457","0.54","6.4","3.5","1.1","1","0.5","0.9","9.8","7.5","11","5.3","115.7","112.4"
"","Jaylen Nowell","Mem","G","24.4","8","18.5","16.6","7.1","3","1","31","0.581","21","0.19","0.462","0.478","6.4","1.8","1.9","0.4","0","0.5","8.1","8.3","10","6","104.3","112"
"","Jordan Goodwin","Pho","G","25.1","22","17.1","18","12.1","18","0.833","70","0.443","60","0.35","0.481","0.508","6.4","3.9","2.2","0.7","0.3","0.8","10.3","8.5","12.5","8.9","112.5","109.2"
"","Jeff Green","Hou","F","37.3","19","15.4","14.8","12.8","47","0.809","44","0.636","24","0.333","0.588","0.665","6.2","2.3","0.6","0.2","0.4","0.5","8.5","6.8","9.2","5.3","131.2","105"
"","Mitchell Robinson","Nyk","C","25.7","21","29.2","9.4","18.3","38","0.368","98","0.592","0","0","0.592","0.567","6.2","10.3","0.7","1.5","1.3","1","16.5","6.9","17.2","4.9","122.5","107"
"","Ochai Agbaji","Uta","G","23.6","23","20.5","12.2","12.6","8","0.75","46","0.543","72","0.403","0.581","0.588","6.2","2.4","1","0.7","0.6","0.7","8.7","7.3","9.7","4.8","114.6","117.2"
"","Sasha Vezenkov","Sac","F","28.4","18","14.2","17.3","6.9","8","0.75","35","0.543","59","0.373","0.553","0.564","6.1","2.5","0.3","0.5","0.3","0.4","8.6","6.4","8.9","4.7","111.1","109"
"","Shake Milton","Min","G-F","27.2","22","16.5","19.1","16.3","41","0.829","74","0.459","44","0.25","0.428","0.496","6.1","1.9","1.6","0.6","0.1","1","8","7.7","9.6","6.4","99.3","101.1"
"","Payton Pritchard","Bos","G","25.9","21","20.4","14.2","8.1","13","0.769","45","0.489","79","0.316","0.48","0.497","6.1","3.1","2.9","0.3","0","0.5","9.3","9","12.1","7.4","119.2","110"
"","Ayo Dosunmu","Chi","G","23.9","22","18.6","14.6","13.1","18","0.778","62","0.565","50","0.34","0.54","0.563","6.1","1.6","1.7","0.7","0.1","0.8","7.8","7.8","9.5","5.5","112.2","113.2"
"","Isaiah Livers","Det","F","25.4","9","20.3","15.8","15.3","9","0.778","16","0.375","39","0.308","0.436","0.466","6.1","2","1.3","0.3","0","1.1","8.1","7.4","9.4","5","92.7","116.1"
"","Andre Drummond","Chi","C","30.3","24","13.2","22.9","17.5","53","0.585","117","0.487","1","0","0.483","0.513","6","7","0.6","1","0.3","1","13.1","6.7","13.7","8.9","109.5","98.3"
"","Gabe Vincent","Lal","G","27.5","4","28.4","11.7","6.6","2","0.5","14","0.714","14","0.071","0.411","0.416","6","1","3","1.5","0","0.5","7","9","10","3.7","98.6","106.6"
"","Bismack Biyombo","Mem","C","31.3","17","24.3","10.9","22.8","30","0.6","71","0.577","0","0","0.577","0.594","5.9","6.7","2.1","0.4","1.2","1.2","12.6","7.9","14.6","7.2","118.3","104.9"
"","Gary Payton II","Gol","G","31","14","17.3","14.5","11.2","9","0.667","43","0.581","28","0.321","0.542","0.554","5.9","3.1","0.9","1.2","0.3","0.6","9.1","6.9","10","5.9","112.4","104.4"
"","Torrey Craig","Chi","F","33","24","21.5","12.1","10.3","19","0.789","55","0.473","66","0.379","0.525","0.549","5.9","5","1.1","0.6","0.4","0.6","10.9","7","12","5.9","119.3","106.9"
"","Pat Connaughton","Mil","G","30.9","18","23.1","11.2","13.4","12","0.667","31","0.581","59","0.339","0.533","0.546","5.8","3.5","2","0.5","0.2","0.8","9.3","7.8","11.3","6","113.7","116"
"","Harry Giles III","Bro","F-C","25.6","4","5.3","33.7","6.6","4","0.5","10","0.9","4","0.25","0.75","0.73","5.8","1","0","0","0.3","0.3","6.8","5.8","6.8","0","124.5","106"
"","Troy Brown Jr.","Min","G-F","24.4","18","16.1","14.4","10.3","20","0.85","25","0.6","53","0.358","0.558","0.599","5.8","2.9","1","0.3","0.1","0.5","8.7","6.8","9.7","6.4","121.9","105.2"
"","Isaiah Jackson","Ind","F","21.9","13","14.8","13.5","11.3","24","0.708","46","0.63","1","0","0.617","0.651","5.8","4.3","0.8","0.5","1.5","0.5","10.1","6.5","10.8","7.3","135.4","102.8"
"","Robert Covington","Phi","F","33","18","16.9","12","8.9","21","0.905","30","0.533","41","0.415","0.585","0.636","5.7","3.7","0.6","1.3","0.7","0.4","9.3","6.3","9.9","5.5","134.8","103.1"
"","Kevon Looney","Gol","C","27.8","22","22.5","10.5","18.9","32","0.688","90","0.578","0","0","0.578","0.605","5.7","8.4","2.6","0.7","0.3","1","14.1","8.4","16.8","8.9","130.3","101.7"
"","Keita Bates-Diop","Pho","F","27.9","19","18.7","13.6","4.1","32","0.719","57","0.491","36","0.278","0.462","0.509","5.7","3.3","0.9","0.6","0.8","0.2","9.1","6.7","10","5.5","118.4","112.7"
"","Isaiah Hartenstein","Nyk","C-F","25.6","22","18","13","17.9","36","0.667","84","0.571","3","0.333","0.569","0.598","5.6","5.7","1.3","1","0.6","0.9","11.3","6.9","12.5","7.7","125","97.2"
"","Malachi Flynn","Tor","G","25.6","23","16.1","15.4","17.9","18","0.778","45","0.556","60","0.35","0.538","0.562","5.5","2","2.3","0.7","0.2","1","7.5","7.8","9.8","7.3","110.3","109.4"
"","Julian Champagnie","San","F","22.5","15","14.1","18.4","14.7","11","0.727","21","0.333","54","0.37","0.493","0.514","5.5","1.7","0.9","0.4","0.7","0.9","7.2","6.3","8.1","5.8","94.9","116.3"
"","Julian Strawther","Den","G","21.7","21","13","18.5","5.3","10","0.7","35","0.486","72","0.347","0.509","0.521","5.5","1.1","1","0.5","0.2","0.3","6.7","6.6","7.7","5.6","108.6","105.6"
"","Jae'Sean Tate","Hou","F","28.1","19","17.5","12.2","9.1","10","0.8","45","0.622","35","0.371","0.594","0.61","5.4","3.4","1.1","0.9","0.3","0.4","8.8","6.5","9.9","6.2","124.5","94.7"
"","Amen Thompson","Hou","G-F","20.9","5","15.4","19.1","19.8","8","0.625","12","0.667","12","0.167","0.458","0.491","5.4","3.2","1.4","0.4","0.2","1.2","8.6","6.8","10","7.5","94.4","96.9"
"","DeAndre Jordan","Den","C","35.4","8","13.7","18.5","21","21","0.286","30","0.6","0","0","0.6","0.535","5.3","4.5","1.1","0.4","0.3","1","9.8","6.4","10.9","8.7","103.2","103.8"
"","Marcus Morris Sr.","Phi","F","34.3","15","12.5","15.4","7.4","5","1","34","0.471","28","0.5","0.597","0.615","5.3","2.2","0.5","0.3","0.4","0.3","7.5","5.8","8","5.8","123.2","103.1"
"","Kenrich Williams","Okc","G-F","29","12","15.1","13","6","10","0.3","25","0.6","22","0.455","0.638","0.613","5.3","2.8","1.5","0.4","0.2","0.3","8","6.8","9.5","7.5","130.9","103.4"
"","Yuta Watanabe","Pho","G-F","29.2","16","18.3","13.7","14.9","13","0.692","14","0.357","60","0.367","0.514","0.533","5.3","2.3","0.6","0.4","0.4","0.8","7.6","5.9","8.1","4.2","101.5","111"
"","Cole Swider","Mia","F","24.6","3","9.5","23.2","6.7","0","0","3","0.667","11","0.364","0.571","0.571","5.3","0.3","1","0.3","0.3","0.3","5.7","6.3","6.7","4.9","111","115.8"
"","Jevon Carter","Chi","G","28.2","24","14.1","18","10.8","1","0","49","0.449","75","0.36","0.504","0.502","5.2","0.7","1.2","0.5","0.3","0.6","5.9","6.4","7.1","4.6","100.4","114.8"
"","Nassir Little","Pho","F-G","23.8","16","14.3","13.8","9","16","0.875","27","0.667","33","0.333","0.575","0.619","5.2","2.1","0.7","0.6","0.5","0.4","7.3","5.9","8","5.5","125.5","109.5"
"","MarJon Beauchamp","Mil","F","23.2","19","16.2","13.4","12.2","16","0.563","42","0.5","37","0.432","0.57","0.575","5.2","2.4","0.9","0.3","0.2","0.6","7.6","6.1","8.5","5.5","114.5","110.6"
"","Joe Ingles","Orl","F-G","36.2","23","18.7","11.9","17.6","19","0.895","34","0.412","59","0.407","0.538","0.577","5.1","2.8","3.5","0.7","0.1","0.9","7.9","8.6","11.3","7.9","122.6","103.5"
"","Aaron Wiggins","Okc","G","24.9","20","12.1","14.7","13.6","21","0.714","40","0.675","23","0.478","0.69","0.706","5.1","2.1","0.7","0.5","0.1","0.5","7.2","5.8","7.9","6.5","131.3","107.4"
"","Eugene Omoruyi","Was","F","26.8","13","6.2","28.2","16.9","17","0.765","27","0.704","12","0.417","0.679","0.71","5.1","1.7","0.6","0.5","0.1","0.6","6.8","5.7","7.4","11.2","126.5","107.5"
"","Mason Plumlee","Lac","F-C","33.8","6","17","12.8","20.7","14","0.429","19","0.632","0","0","0.632","0.596","5","5.5","1","0.7","0.2","0.8","10.5","6","11.5","7.1","114.8","105.4"
"","Delon Wright","Was","G","31.6","8","17.7","12.2","11.6","16","0.875","19","0.368","11","0.364","0.433","0.54","5","2.5","4.4","1.6","0.1","0.5","7.5","9.4","11.9","8.6","130.7","119.1"
"","Paul Reed","Phi","F","24.5","22","14","14.5","18.4","9","0.667","74","0.622","10","0.4","0.619","0.625","5","4.3","1","0.5","0.6","0.9","9.3","6","10.3","7.9","121.3","99.6"
"","Kenyon Martin Jr.","Lac","F","22.9","2","0","0","0","2","0.5","5","0.6","5","0.2","0.45","0.46","5","1.5","0.5","1","0.5","0","6.5","5.5","7","0","0","0"
"","James Bouknight","Cha","G","23.2","1","0","0","0","0","0","1","1","2","0.5","0.833","0.833","5","1","0","0","0","0","6","5","6","0","0","0"
"","Stanley Umude","Det","G","24.7","15","10.3","17.3","18.4","23","0.913","17","0.353","27","0.519","0.614","0.693","5","1.9","0.5","0.3","0.3","0.7","6.9","5.5","7.4","6.5","123.1","105"
"","Max Christie","Lal","G","20.8","18","18.7","12.8","12.7","14","0.714","44","0.5","38","0.316","0.488","0.51","5","2.7","1","0.4","0.2","0.7","7.7","6","8.7","5.1","98","105.3"
"","Patrick Beverley","Phi","G","35.4","22","18","12.2","14.9","18","0.722","43","0.581","48","0.313","0.522","0.546","4.9","3.1","2.5","0.5","0.3","0.7","8","7.4","10.5","7.5","120.8","106.8"
"","James Wiseman","Det","C","22.7","13","11.4","16.9","21","17","0.588","40","0.675","1","0","0.659","0.66","4.9","3.2","0.4","0.2","0.6","0.8","8.2","5.3","8.5","6.5","113.8","103.5"
"","Vince Williams Jr.","Mem","G","23.3","14","15.6","11.8","15","17","0.882","9","0.778","36","0.361","0.589","0.648","4.9","3.6","1.1","0.3","0.5","0.6","8.5","6","9.6","6.9","126.7","102.8"
"","JaVale McGee","Sac","C-F","35.9","19","9.2","21.2","22.7","19","0.579","60","0.667","1","0","0.656","0.656","4.8","3.5","0.5","0.3","0.6","0.9","8.3","5.3","8.7","8.8","113.2","101.8"
"","Tre Mann","Okc","G","22.9","8","10.6","20.1","17.7","1","1","19","0.579","13","0.385","0.578","0.586","4.8","2.1","1.5","0.4","0","0.9","6.9","6.3","8.4","9.3","109","111.7"
"","Taylor Hendricks","Uta","F","20.1","5","16.5","13.2","11.9","3","0.667","8","0.625","14","0.286","0.5","0.515","4.8","1.4","0.4","0.8","0.8","0.6","6.2","5.2","6.6","3.4","100.5","116.7"
"","Anthony Black","Orl","G","19.9","21","19.2","11.6","20.9","25","0.64","53","0.604","26","0.269","0.538","0.561","4.8","2.2","1.4","0.4","0.4","1","7","6.2","8.5","5.1","104.8","103.1"
"","Seth Curry","Dal","G","33.3","18","12.2","16.2","6.2","9","0.889","33","0.424","42","0.381","0.507","0.532","4.7","1.5","1","0.6","0.1","0.3","6.2","5.7","7.2","6.3","116.5","112.7"
"","Thomas Bryant","Mia","C-F","26.4","14","12.3","18.7","18.1","15","0.8","51","0.529","3","0","0.5","0.545","4.7","3.6","0.6","0.4","0.3","0.9","8.4","5.4","9","7","103.8","103.8"
"","Omer Yurtseven","Uta","C","25.5","16","12.5","16.6","22","8","0.75","47","0.638","13","0.231","0.575","0.59","4.7","5","0.8","0.2","0.5","1.1","9.7","5.4","10.4","8.5","106.9","105.5"
"","Peyton Watson","Den","G","21.3","22","15.8","13.7","13","25","0.64","65","0.585","22","0.182","0.506","0.531","4.7","2","0.9","0.5","1","0.6","6.8","5.6","7.6","5.2","105.2","108.7"
"","Justin Holiday","Den","F-G","34.7","13","13.8","10","7.1","0","0","12","0.75","27","0.519","0.769","0.769","4.6","1.6","1.2","0.5","0","0.2","6.2","5.8","7.4","6","147.3","109.1"
"","A.J. Lawson","Dal","G","23.4","5","10","21.7","4.1","4","0.5","9","0.667","14","0.214","0.457","0.464","4.6","0.8","0.6","0","0.2","0.2","5.4","5.2","6","5.2","101.5","119.2"
"","Davis Bertans","Okc","F","31.1","8","8.2","16.1","0","15","0.933","1","0","17","0.412","0.583","0.711","4.4","0.6","0.8","0.3","0.3","0","5","5.1","5.8","6.3","156.3","104.1"
"","Danuel House Jr.","Phi","F-G","30.5","11","12.4","15.1","20.3","12","0.75","15","0.6","20","0.35","0.557","0.596","4.4","1.4","0.8","0.5","0.1","0.8","5.7","5.2","6.5","5.5","108.7","110.8"
"","Luke Kornet","Bos","C-F","28.4","16","13.2","10.3","12.9","10","0.8","40","0.775","0","0","0.775","0.788","4.4","3.3","0.6","0.5","0.8","0.4","7.6","5","8.3","6.2","153.2","103.2"
"","Davion Mitchell","Sac","G","25.3","16","15","15.3","15.6","9","1","28","0.464","42","0.286","0.443","0.48","4.4","1.1","2.4","0.3","0.1","0.8","5.6","6.8","7.9","6","104","111"
"","Dru Smith","Mia","G","26","9","14.5","13.1","13","2","1","16","0.5","17","0.412","0.561","0.576","4.3","1.6","1.6","1","0.3","0.6","5.9","5.9","7.4","6.1","118.2","106.7"
"","Bryce McGowens","Cha","G","21.1","16","15.6","11.2","14.9","12","0.75","19","0.474","32","0.438","0.588","0.613","4.3","1.7","0.9","0.4","0.1","0.6","6","5.2","6.9","4.8","115.6","116.7"
"","Dwight Powell","Dal","F-C","32.4","20","14.2","9.1","20.3","40","0.8","34","0.706","1","1","0.729","0.789","4.2","3","1.5","0.5","0.4","0.5","7.1","5.7","8.6","7.5","158.8","105"
"","Theo Maledon","Cha","G","22.5","13","15.4","18.4","18.4","12","0.917","36","0.389","30","0.167","0.326","0.379","4.2","1.8","2.2","0.5","0","1.2","5.9","6.3","8.1","6.6","84.5","116.2"
"","Jeremiah Robinson-Earl","Nor","F","23.1","9","11.6","14.5","17.9","6","1","16","0.438","11","0.545","0.593","0.641","4.2","2.7","0.7","0.2","0","0.7","6.9","4.9","7.6","6.9","119.1","108.6"
"","Chris Duarte","Sac","G","26.5","19","13.7","14.5","13.2","14","0.714","29","0.483","43","0.326","0.486","0.512","4.2","1.8","0.9","0.6","0.1","0.6","6","5.1","6.9","5.5","101.2","99"
"","Jaylin Williams","Okc","F","21.5","17","12.7","15.4","11","12","0.917","26","0.423","38","0.342","0.477","0.52","4.2","3.3","1.4","0.4","0.1","0.5","7.5","5.6","8.9","8.5","112.5","100"
"","Ousmane Dieng","Okc","F","20.6","13","11.5","15.2","10.1","8","0.75","14","0.643","30","0.333","0.545","0.568","4.2","1.9","1.1","0.1","0","0.4","6.1","5.2","7.2","7.2","118.3","111.8"
"","Neemias Queta","Bos","C","24.4","3","10.2","20.1","16.2","5","0.8","10","0.4","0","0","0.4","0.492","4","5.7","0","0.3","0","0.7","9.7","4","9.7","0","114.2","101.8"
